Title,Directors
Road to Perdition,Sam Mendes
To All the Boys I've Loved Before,Susan Johnson
Molly's Game,Aaron Sorkin
Blackfish,Gabriela Cowperthwaite
El Camino: A Breaking Bad Movie,Vince Gilligan
The Invisible Guest,Oriol Paulo
Song of the Sea,Tomm Moore
End of Watch,David Ayer
The Evil Dead,Sam Raimi
About Time,Richard Curtis
Kung Fu Hustle,Stephen Chow
Blue Is the Warmest Color,Abdellatif Kechiche
Y Tu Mam√° Tambi√©n,Alfonso Cuar??n
The Naked Gun: From the Files of Police Squad!,David Zucker
Mud,Jeff Nichols
The Edge of Seventeen,Kelly Fremon Craig
Philadelphia,
Lagaan: Once Upon a Time in India,Ashutosh Gowariker
Tucker and Dale vs. Evil,Eli Craig
The Matrix Reloaded,"Lana Wachowski,Lilly Wachowski"
The Two Popes,Fernando Meirelles
The Last Samurai,Edward Zwick
The Florida Project,Sean Baker
13th,Ava DuVernay
Bahubali: The Beginning,S.S. Rajamouli
The Dawn Wall,"Josh Lowell,Peter Mortimer"
Dolemite Is My Name,Craig Brewer
Tarzan,David Yates
The Platform,Galder Gaztelu-Urrutia
Okja,Bong Joon Ho
Roma,
Saving Mr. Banks,John Lee Hancock
Icarus,Bryan Fogel
Jiro Dreams of Sushi,David Gelb
Corpse Bride,"Tim Burton,Mike Johnson"
Jerry Maguire,Cameron Crowe
The Death of Stalin,Armando Iannucci
GoldenEye,Martin Campbell
The Boy in the Striped Pyjamas,Mark Herman
Amy,
Ralph Breaks the Internet,"Phil Johnston,Rich Moore"
Good Time,"Benny Safdie,Josh Safdie"
Ip Man 2,Wilson Yip
The Little Prince,Mark Osborne
The Spectacular Now,James Ponsoldt
Baahubali 2: The Conclusion,S.S. Rajamouli
Black Mirror: Bandersnatch,David Slade
PK,Rajkumar Hirani
Extraction,Sam Hargrave
The Lobster,Yorgos Lanthimos
Blue Valentine,Derek Cianfrance
Zindagi Na Milegi Dobara,Zoya Akhtar
Green Room,Jeremy Saulnier
Kung Fu Panda 2,Jennifer Yuh Nelson
The Ballad of Buster Scruggs,"Ethan Coen,Joel Coen"
Cloverfield,Matt Reeves
Burning,Chang-dong Lee
The Adventures of Tintin,Steven Spielberg
Bolt,"Byron Howard,Chris Williams"
Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno,Kazuya Tsurumaki"
Chasing Amy,Kevin Smith
The Princess and the Frog,"Ron Clements,John Musker"
Bad Genius,Nattawut Poonpiriya
The Wicker Man,Robin Hardy
A Single Man,Tom Ford
Blow,Ted Demme
The Squid and the Whale,Noah Baumbach
My Life as a Zucchini,Claude Barras
Jim & Andy: The Great Beyond- Featuring a Very Special Contractually Obligated Mention of Tony Clifton,Chris Smith
Barfi!,Anurag Basu
Frances Ha,Noah Baumbach
Tootsie,Sydney Pollack
Solo: A Star Wars Story,Ron Howard
Steve Jobs,Danny Boyle
Tremors,Ron Underwood
The Croods,"Kirk DeMicco,Chris Sanders"
Locke,Steven Knight
Bill Burr: I'm Sorry You Feel That Way,Jay Karas
Starred Up,David Mackenzie
Mudbound,Dee Rees
Austin Powers: International Man of Mystery,Jay Roach
Blue Ruin,Jeremy Saulnier
The Patriot,Roland Emmerich
Babel,Alejandro G. I?±?∞rritu
The Square,Ruben ?Òstlund
Gerald's Game,Mike Flanagan
Miracle,Gavin O'Connor
Swades,Ashutosh Gowariker
Tinker Tailor Soldier Spy,Tomas Alfredson
The Witch,Robert Eggers
Haider,Vishal Bhardwaj
Padman,R. Balki
Hush,Mike Flanagan
Elizabeth,Shekhar Kapur
Miss Americana,Lana Wilson
Christopher Robin,Marc Forster
I Lost My Body,J?©r?©my Clapin
I Am Mother,Grant Sputore
Lupin the Third: The Castle of Cagliostro,Hayao Miyazaki
The Autopsy of Jane Doe,Andr?© ?Úvredal
Virunga,Orlando von Einsiedel
Freedom Writers,Richard LaGravenese
The Master,Paul Thomas Anderson
A Serious Man,"Ethan Coen,Joel Coen"
The King,David Mich?•d
The Breadwinner,Nora Twomey
The Boy Who Harnessed the Wind,Chiwetel Ejiofor
Article 15,Anubhav Sinha
The Killing of a Sacred Deer,Yorgos Lanthimos
Lawless,John Hillcoat
Kabhi Khushi Kabhie Gham,Karan Johar
Charlie and the Chocolate Factory,Tim Burton
Freaks,"Zach Lipovsky,Adam B. Stein"
Hannah Gadsby: Nanette,"Jon Olb,Madeleine Parry"
The Mask of Zorro,Martin Campbell
The Natural,Barry Levinson
Equilibrium,Kurt Wimmer
Arthur Christmas,"Sarah Smith,Barry Cook"
The Rainmaker,Francis Ford Coppola
Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky
Always Be My Maybe,Nahnatchka Khan
The Crying Game,Neil Jordan
War Horse,Steven Spielberg
Shot Caller,Ric Roman Waugh
The Invitation,Karyn Kusama
A Most Violent Year,J.C. Chandor
The Other Guys,Adam McKay
Kapoor & Sons,Shakun Batra
On Body and Soul,Ildik?? Enyedi
The Fundamentals of Caring,Rob Burnett
Insidious,James Wan
Bill Burr: Paper Tiger,Mike Binder
Bad Boys,Michael Bay
The Foreigner,Martin Campbell
The Danish Girl,Tom Hooper
The Girl with All the Gifts,Colm McCarthy
Bird Box,Susanne Bier
The Ring,Gore Verbinski
Hostiles,Scott Cooper
Sairat,Nagraj Manjule
Trumbo,Jay Roach
LA 92,"Daniel Lindsay,T.J. Martin"
20th Century Women,Mike Mills
Kal Ho Naa Ho,Nikkhil Advani
Swiss Army Man,"Dan Kwan,Daniel Scheinert"
In This Corner of the World,Sunao Katabuchi
A Ghost Story,David Lowery
United 93,Paul Greengrass
Patriot Games,Phillip Noyce
The Secret Life of Pets 2,"Chris Renaud,Jonathan del Val"
Hitch,Andy Tennant
The Young Offenders,
Enemy,Denis Villeneuve
Mirage,Oriol Paulo
Everybody's Everything,"Sebastian Jones,Ramez Silyan"
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg
The Guernsey Literary & Potato Peel Pie Society,Mike Newell
I Don't Feel at Home in This World Anymore,Macon Blair
The Endless,"Justin Benson,Aaron Moorhead"
Julie & Julia,Nora Ephron
The Game Changers,Louie Psihoyos
Under the Shadow,Babak Anvari
Angel Has Fallen,Ric Roman Waugh
Kon-Tiki,"Joachim R??nning,Espen Sandberg"
Mary Poppins Returns,Rob Marshall
Kajaki,Paul Katis
The Fear of 13,David Sington
The Night Comes for Us,Timo Tjahjanto
Blood Father,Jean-Fran?ﬂois Richet
Stree,Amar Kaushik
American Factory,"Steven Bognar,Julia Reichert"
Code 8,Jeff Chan
Salt,Phillip Noyce
The Hundred-Foot Journey,Lasse Hallstr??m
The Distinguished Citizen,"Gast??n Duprat,Mariano Cohn"
Scooby-Doo on Zombie Island,"Hiroshi Aoyama,Kazumi Fukushima,Jim Stenstrum"
Chasing Coral,Jeff Orlowski
The End of the Tour,James Ponsoldt
The One I Love,Charlie McDowell
Underworld,Len Wiseman
The Death of Mr. Lazarescu,Cristi Puiu
Madagascar: Escape 2 Africa,"Eric Darnell,Tom McGrath"
The Wolf's Call,Antonin Baudry
What Happened to Monday,Tommy Wirkola
The Willoughbys,"Kris Pearn,Cory Evans,Rob Lodermeier"
The White Helmets,Orlando von Einsiedel
Suburra,
The Matrix Revolutions,"Lana Wachowski,Lilly Wachowski"
Richard Pryor: Live in Concert,Jeff Margolis
Austin Powers: The Spy Who Shagged Me,Jay Roach
Get Him to the Greek,Nicholas Stoller
Slow West,John Maclean
The Meyerowitz Stories (New and Selected),Noah Baumbach
The Battered Bastards of Baseball,"Chapman Way,Maclain Way"
The Perfection,Richard Shepard
Ip Man 3,Wilson Yip
Sinister,Scott Derrickson
Rush: Beyond the Lighted Stage,"Sam Dunn,Scot McFadyen"
20 Feet from Stardom,Morgan Neville
The Stanford Prison Experiment,Kyle Patrick Alvarez
My Week with Marilyn,Simon Curtis
Catfish,"Henry Joost,Ariel Schulman"
Secret Superstar,Advait Chandan
Private Life,Tamara Jenkins
Jarhead,Sam Mendes
Yes Man,Peyton Reed
For the Love of Spock,Adam Nimoy
Goon,Michael Dowse
Ace Ventura: Pet Detective,Tom Shadyac
Inequality for All,Jacob Kornbluth
Olympus Has Fallen,Antoine Fuqua
Dave Chappelle: Sticks & Stones,Stan Lathan
John Mulaney: Kid Gorgeous at Radio City,Alex Timbers
La Bamba,Luis Valdez
Public Enemies,Michael Mann
Supersonic,Mat Whitecross
The Edge of Democracy,Petra Costa
The Polar Express,Robert Zemeckis
Under the Skin,Jonathan Glazer
Crip Camp: A Disability Revolution,"James Lebrecht,Nicole Newnham"
Tell Me Who I Am,Ed Perkins
Hey Arnold! The Jungle Movie,"Raymie Muzquiz,Stu Livingston"
Zack and Miri Make a Porno,Kevin Smith
The Score,Frank Oz
Hamburger Hill,John Irvin
9,Shane Acker
Undefeated,"Daniel Lindsay,T.J. Martin"
Team Foxcatcher,Jon Greenhalgh
A Shaun the Sheep Movie: Farmageddon,"Will Becher,Richard Phelan"
April and the Extraordinary World,"Christian Desmares,Franck Ekinci"
The Highwaymen,John Lee Hancock
Legend,Brian Helgeland
Boy & the World,Al?ô Abreu
Creep 2,Patrick Brice
Terminator 3: Rise of the Machines,Jonathan Mostow
Unrest,Jason Todd Ipson
Guru,Mani Ratnam
Louis C.K. 2017,Louis C.K.
A Twelve-Year Night,?≈lvaro Brechner
Happy as Lazzaro,Alice Rohrwacher
What Happened Miss Simone?,Liz Garbus
Blue Jay,Alex Lehmann
1922,Zak Hilditch
Hancock,Peter Berg
Circus of Books,Rachel Mason
Hail Caesar!,"Ethan Coen,Joel Coen"
The Pixar Story,Leslie Iwerks
Child's Play,Lars Klevberg
Springsteen On Broadway,Thom Zimny
The Angry Birds Movie 2,"Thurop Van Orman,John Rice"
Obvious Child,Gillian Robespierre
Awe!,Prasanth Varma
American Honey,Andrea Arnold
Last Breath,"Richard da Costa,Alex Parkinson"
Udta Punjab,Abhishek Chaubey
Den of Thieves,Christian Gudegast
Wadjda,Haifaa Al-Mansour
The Spiderwick Chronicles,Mark Waters
The Christmas Chronicles,Clay Kaytis
Turbo,David Soren
My Girl,Howard Zieff
2020-07-22 00:00:00,Paul Greengrass
Adam Sandler: 100% Fresh,"Steven Brill,Nicholaus Goossen"
Remember,Atom Egoyan
Triple Frontier,J.C. Chandor
Bombshell: The Hedy Lamarr Story,Alexandra Dean
Paddleton,Alex Lehmann
Bad Boys II,Michael Bay
Sour Grapes,Larry David
Betting on Zero,Ted Braun
Delhi Belly,"Abhinay Deo,Akshat Verma"
Being Elmo: A Puppeteer's Journey,"Constance Marks,Philip Shane"
Williams,Morgan Matthews
It Comes at Night,Trey Edward Shults
Cuba and the Cameraman,Jon Alpert
Creep,Patrick Brice
The Interview,"Evan Goldberg,Seth Rogen"
Bobby Robson: More Than a Manager,"Gabriel Clarke,Torquil Jones"
Outbreak,Wolfgang Petersen
Black Snake Moan,Craig Brewer
Bright,David Ayer
Cargo,"Ben Howling,Yolanda Ramke"
Even the Rain,Ic??ar Bolla??n
Candyman,Bernard Rose
Mary and the Witch's Flower,"Hiromasa Yonebayashi,Giles New"
Calibre,Matt Palmer
First They Killed My Father,Angelina Jolie
Us and Them,Rene Liu
Up in Smoke,"Lou Adler,Tommy Chong"
Final Destination,James Wong
Kill the Messenger,Michael Cuesta
Operation Odessa,Tiller Russell
The American Meme,Bert Marcus
Outlaw King,David Mackenzie
21,Robert Luketic
Holding the Man,Neil Armfield
Krisha,Trey Edward Shults
De Palma,"Noah Baumbach,Jake Paltrow"
Dear Ex,"Chih-Yen Hsu,Mag Hsu"
Tomorrow Never Dies,Roger Spottiswoode
Veronica,"Elizabeth Banks,Steven Brill,Steve Carr,Rusty Cundieff,James Duffy,Griffin Dunne,Peter Farrelly,Patrik Forsberg,Will Graham,James Gunn,Brett Ratner,Jonathan van Tulleken,Bob Odenkirk"
The Cakemaker,Ofir Raul Graizer
Instructions Not Included,Eugenio Derbez
Bleed for This,Ben Younger
Girl,Lukas Dhont
The Naked Gun 2¬Ω: The Smell of Fear,David Zucker
Bareilly's Barfi,Ashwiny Iyer Tiwari
The Sky Is Pink,Shonali Bose
Chitty Chitty Bang Bang,Ken Hughes
A Wednesday!,Neeraj Pandey
Jodhaa Akbar,Ashutosh Gowariker
Handsome Devil,John Butler
Love Rosie,Christian Ditter
Oceans,"Jacques Perrin,Jacques Cluzaud"
The Ritual,David Bruckner
Super Dark Times,Kevin Phillips
Tallulah,Sian Heder
Other People,Chris Kelly
Alpha Dog,Nick Cassavetes
Spectral,Nic Mathieu
The Babysitter,McG
Extremely Wicked Shockingly Evil and Vile,Joe Berlinger
Heneral Luna,Jerrold Tarog
Click,Frank Coraci
The Duchess,Saul Dibb
The Last Man on the Moon,Mark Craig
The 24 Hour War,"Nate Adams,Adam Carolla"
Mune: Guardian of the Moon,"Alexandre Heboyan,Beno?∆t Philippon"
The Devil We Know,"Stephanie Soechtig,Jeremy Seifert"
How the Grinch Stole Christmas,Ron Howard
LA Originals,Estevan Oriol
Whisky,"Juan Pablo Rebella,Pablo Stoll"
The Sapphires,Wayne Blair
Bloodsport,Newt Arnold
Tinker Bell and the Legend of the NeverBeast,Steve Loter
Get Me Roger Stone,"Dylan Bank,Daniel DiMauro,Morgan Pehme"
Alex Strangelove,Craig Johnson
She's Out of My League,Jim Field Smith
Sarah's Key,Gilles Paquet-Brenner
My Happy Family,"Nana Ekvtimishvili,Simon Gro?¸"
Killing Them Softly,Andrew Dominik
Ittefaq,Abhay Chopra
6 Underground,Michael Bay
The Accountant of Auschwitz,Matthew Shoychet
Echo in the Canyon,Andrew Slater
Hold the Dark,Jeremy Saulnier
Suffragette,Sarah Gavron
The Siege of Jadotville,Richie Smyth
Terminator Salvation,McG
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky
Filmworker,Tony Zierra
Our Souls at Night,Ritesh Batra
Mine 9,Eddie Mensore
Everybody Knows,Asghar Farhadi
Retribution,
Ice Guardians,Brett Harvey
Tinker Bell and the Pirate Fairy,Peggy Holmes
The World Is Not Enough,Michael Apted
Suite Fran√ßaise,Saul Dibb
Period. End of Sentence.,Rayka Zehtabchi
Beyond the Mat,Barry W. Blaustein
Next Gen,"Kevin R. Adams,Joe Ksander,Ricardo Curtis"
Cam,Daniel Goldhaber
Divines,Houda Benyamina
Shirkers,Sandi Tan
Underworld: Evolution,Len Wiseman
Om Shanti Om,Farah Khan
How to Change the World,Jerry Rothwell
Spitfire,John Cromwell
You Are My Sunday,Milind Dhaimade
Dear Zindagi,Gauri Shinde
Uncorked,Prentice Penny
The Water Diviner,Russell Crowe
Gaga: Five Foot Two,Chris Moukarbel
Austin Powers in Goldmember,Jay Roach
He Never Died,Jason Krawczyk
Black Sea,Kevin Macdonald
Ali's Wedding,Jeffrey Walker
Event Horizon,Paul W.S. Anderson
Mississippi Grind,"Anna Boden,Ryan Fleck"
They'll Love Me When I'm Dead,Morgan Neville
Kai Po Che!,Abhishek Kapoor
Badla,Sujoy Ghosh
Young Adult,Jason Reitman
ZZ Top: That Little Ol' Band From Texas,Sam Dunn
Scary Movie,Wes Craven
The Dirt,Jeff Tremaine
Killer Klowns from Outer Space,Stephen Chiodo
The Exception,David Leveaux
Spenser Confidential,Peter Berg
Wheelman,Jeremy Rush
While We're Young,Noah Baumbach
Die Another Day,Lee Tamahori
The Grandmaster,Kar-Wai Wong
Bathtubs Over Broadway,Dava Whisenant
Cadillac Records,Darnell Martin
I am Divine,Jeffrey Schwarz
King Jack,Felix Thompson
The Runaways,Floria Sigismondi
2012,Roland Emmerich
The Half of It,Alice Wu
Tigertail,Alan Yang
Sleeping with Other People,Leslye Headland
What Lies Beneath,Robert Zemeckis
Fractured,Brad Anderson
Master Z: Ip Man Legacy,Woo-Ping Yuen
Neruda,Pablo Larra??n
One Day,Lone Scherfig
Just Friends,Roger Kumble
A≈õoka,
Harold and Lillian: A Hollywood Love Story,Daniel Raim
The Grinch,Ron Howard
Qarib Qarib Singlle,Tanuja Chandra
Beasts of No Nation,Cary Joji Fukunaga
Time Trap,"Mark Dennis,Ben Foster"
Final Destination 2,David R. Ellis
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy
Dance Academy: The Movie,Jeffrey Walker
White Fang,Randal Kleiser
All the Bright Places,Brett Haley
Elena,Andrey Zvyagintsev
Underworld: Rise of the Lycans,Patrick Tatopoulos
Talaash,Reema Kagti
Kevin Hart: Laugh at My Pain,"Leslie Small,Tim Story"
Gridiron Gang,Phil Joanou
Hot Rod,Akiva Schaffer
Bee Movie,"Simon J. Smith,Steve Hickner"
Trash,"Stephen Daldry,Christian Duurvoort"
The Photographer of Mauthausen,Mar Targarona
He's Just Not That Into You,Ken Kwapis
Forks Over Knives,Lee Fulkerson
Bandits,Barry Levinson
Sanju,Rajkumar Hirani
Blame!,Hiroyuki Seshita
Quincy,
DragonHeart,Rob Cohen
Bad Day for the Cut,Chris Baugh
We the Animals,Jeremiah Zagar
Soul Surfer,Sean McNamara
Rocko's Modern Life: Static Cling,"Joe Murray,Cosmo Segurson"
Haywire,Steven Soderbergh
Pink,Aniruddha Roy Chowdhury
Stuart Little,Rob Minkoff
Cutie and the Boxer,Zachary Heinzerling
The World Is Yours,Romain Gavras
Berlin Syndrome,Cate Shortland
Furie,David Ayer
Big Miracle,Ken Kwapis
Tramps,Adam Leon
Parmanu: The Story of Pokhran,Abhishek Sharma
Kursk,Thomas Vinterberg
Deep Impact,Mimi Leder
The Kindergarten Teacher,Sara Colangelo
Stonehearst Asylum,Brad Anderson
Nick Kroll & John Mulaney: Oh Hello on Broadway,
The Wandering Earth,Frant Gwo
Bon Cop Bad Cop,Erik Canuel
Melvin Goes to Dinner,Bob Odenkirk
Chappaquiddick,John Curran
Miles Davis: Birth of the Cool,Stanley Nelson
Mission Control: The Unsung Heroes of Apollo,David Fairhead
Dukhtar,Afia Nathaniel
Red Dawn,John Milius
Kaabil,Sanjay Gupta
The Company Men,John Wells
Studio 54,Mark Christopher
The Case for Christ,Jon Gunn
Outside In,Lynn Shelton
Mowgli: Legend of the Jungle,Andy Serkis
Errementari: The Blacksmith and the Devil,Paul Urkijo Alijo
Jimmy Neutron: Boy Genius,John A. Davis
World Trade Center,Oliver Stone
I Am Kalam,Nila Madhab Panda
PEEPLI [Live],"Anusha Rizvi,Mahmood Farooqui"
My Scientology Movie,John Dower
Latin History for Morons: John Leguizamo's Road to Broadway,
Mortal Kombat,Paul W.S. Anderson
Behind the Curve,Daniel J. Clark
Soni,Nicolas Cage
Carriers,"David Pastor,?ƒlex Pastor"
Tig,"Kristina Goolsby,Ashley York"
Patton Oswalt: Annihilation,Bobcat Goldthwait
Trixie Mattel: Moving Parts,Nicholas Zeig-Owens
Petta,Karthik Subbaraj
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,Tommy Avallone
Can't Hardly Wait,"Harry Elfont,Deborah Kaplan"
The Confirmation,Bob Nelson
The First Wives Club,Hugh Wilson
Colonia,Florian Gallenberger
Free Fire,Ben Wheatley
Life As We Know It,Greg Berlanti
To All the Boys: P.S. I Still Love You,Michael Fimognari
Cop Car,Jon Watts
Urban Cowboy,James Bridges
Above the Rim,Jeff Pollack
Screwball,Billy Corben
Prosecuting Evil: The Extraordinary World of Ben Ferencz,Barry Avrich
The Incident,Larry Peerce
Resident Evil: Extinction,Russell Mulcahy
American Assassin,Michael Cuesta
Rang De Basanti,Rakeysh Omprakash Mehra
Open Season,"Roger Allers,Jill Culton,Anthony Stacchi"
Strong Island,Yance Ford
Resident Evil: Apocalypse,Alexander Witt
Smoke & Mirrors,Alberto Rodr??guez
Sky Ladder: The Art of Cai Guo-Qiang,Kevin Macdonald
Kate & Leopold,James Mangold
Raiders!: The Story of the Greatest Fan Film Ever Made,"Jeremy Coon,Tim Skousen"
Then Came You,Peter Hutchings
The Forest of Love,Sion Sono
I Called Him Morgan,Kasper Collin
The Money Pit,Richard Benjamin
The Angel,Ariel Vromen
Burlesque,Steve Antin
My Masterpiece,Gast??n Duprat
Mr. Church,Bruce Beresford
Murder Mystery,Kyle Newacheck
Audrie & Daisy,"Bonni Cohen,Jon Shenk"
Miss Hokusai,"Keiichi Hara,Stephanie Sheh,Michael Sinterniklaas"
Dumplin',Anne Fletcher
The Invention of Lying,"Ricky Gervais,Matthew Robinson"
Breath,Simon Baker
Kodachrome,Mark Raso
Operation Red Sea,Dante Lam
Murder Party,Jeremy Saulnier
Woodstock: Three Days That Defined a Generation,"Barak Goodman,Jamila Ephron"
Laggies,Lynn Shelton
Eye for an Eye,"Francesco Cinquemani,George Gallo"
Cowspiracy: The Sustainability Secret,"Kip Andersen,Keegan Kuhn"
Eddie Murphy: Delirious,Bruce Gowers
The Aerial,Esteban Sapir
Fire in Paradise,"Zackary Canepari,Drea Cooper"
Cookie's Fortune,Robert Altman
Before I Wake,Mike Flanagan
Layla M.,Mijke de Jong
Mountain,Jennifer Peedom
Center Stage,Nicholas Hytner
Mr. Right,Paco Cabezas
Tamasha,Imtiaz Ali
Just Another Love Story,Ole Bornedal
Quartet,Dustin Hoffman
Dil Chahta Hai,Farhan Akhtar
Bikram: Yogi Guru Predator,Eva Orner
Dolphin Tale 2,Charles Martin Smith
No One Killed Jessica,Raj Kumar Gupta
I Am Bolt,"Benjamin Turner,Gabe Turner"
Evolution,Ivan Reitman
BuyBust,Erik Matti
Advantageous,Jennifer Phang
The Iron Lady,Phyllida Lloyd
Son of a Gun,Julius Avery
Rugrats in Paris: The Movie,"Stig Bergqvist,Paul Demeyer"
On My Skin,Alessio Cremonini
Sweetheart,J.D. Dillard
Raees,Rahul Dholakia
The Rover,David Mich?•d
Paan Singh Tomar,Tigmanshu Dhulia
The Other Side of the Wind,Orson Welles
The Garden of Words,Makoto Shinkai
The Legend of 420,Peter Spirer
Let It Fall: Los Angeles 1982-1992,John Ridley
Manto,Nandita Das
Rainbow,Nagesh Kukunoor
Walking Out,"Alex Smith,Andrew J. Smith"
Holy Hell,Will Allen
After,Jenny Gage
Jersey Boys,Clint Eastwood
Flavors of Youth,"Haoling Li,Yoshitaka Takeuch,Xiaoxing Yi"
Nappily Ever After,Haifaa Al-Mansour
Final Destination 3,James Wong
To Wong Foo Thanks for Everything! Julie Newmar,Beeban Kidron
Elizabeth: The Golden Age,Shekhar Kapur
37 Seconds,Hikari
A Futile and Stupid Gesture,David Wain
The Green Hornet,Michel Gondry
Dear John,Lasse Hallstr??m
Heroin(e),Elaine McMillion Sheldon
Guzaarish,Sanjay Leela Bhansali
Imperial Dreams,Malik Vitthal
Between Two Ferns: The Movie,Scott Aukerman
13 Sins,Daniel Stamm
Kiss the Girls,Gary Fleder
Newness,Drake Doremus
Mr. Roosevelt,No?¥l Wells
Justin Timberlake + The Tennessee Kids,Jonathan Demme
Battle: Los Angeles,Jonathan Liebesman
Hondros,Greg Campbell
When We First Met,Ari Sandel
(T)ERROR,"Lyric R. Cabral,David Felix Sutcliffe"
Kuch Kuch Hota Hai,Karan Johar
Trailer Park Boys: The Movie,Mike Clattenburg
G.O.R.A.,?Òmer Faruk Sorak
Phantom Boy,"Jean-Loup Felicioli,Alain Gagnol"
Survivor's Guide to Prison,Matthew Cooke
Transcendence,Wally Pfister
Jagga Jasoos,Anurag Basu
The Perfect Date,Chris Nelson
A Fortunate Man,Bille August
Kahaani,Sujoy Ghosh
Andaz Apna Apna,Rajkumar Santoshi
Let It Snow,Luke Snellin
Middle School: The Worst Years of My Life,Steve Carr
The Little Hours,Jeff Baena
Aval,Milind Rau
The Unknown Known,Errol Morris
Kahlil Gibran's The Prophet,"Roger Allers,Ga?¥tan Brizzi,Paul Brizzi,Joan C. Gratz,Mohammed Saeed Harib,Tomm Moore,Nina Paley,Bill Plympton,Joann Sfar,Michal Socha"
The Princess Switch,Mike Rohl
The Blackcoat's Daughter,Oz Perkins
What We Started,"Bert Marcus,Cyrus Saidi"
Let There Be Light,Karen Moncrieff
Into the Forest,Patricia Rozema
God Knows Where I Am,"Jedd Wider,Todd Wider"
Stuart Little 2,Rob Minkoff
The Rolling Stones: Ol√© Ol√© Ol√©! ‚Äì A Trip Across Latin America,Paul Dugdale
Sand Storm,Elite Zexer
From Paris with Love,Pierre Morel
Luck by Chance,Zoya Akhtar
I Am Jane Doe,Mary Mazzio
Pee-wee's Big Holiday,John Lee
Promised Land,Gus Van Sant
Carrie Pilby,Susan Johnson
Seeing Allred,"Roberta Grossman,Sophie Sartain"
Goldstone,Ivan Sen
The Signal,William Eubank
The Red Sea Diving Resort,Gideon Raff
Self/less,Tarsem Singh
The Burial of Kojo,Blitz Bazawule
Horse Girl,Jeff Baena
Headshot,Walter Hill
Joan Didion: The Center Will Not Hold,Griffin Dunne
Circle,"Aaron Hann,Mario Miscione"
Chris Rock: Tamborine,Bo Burnham
The Monster,Bryan Bertino
Sergio,Greg Barker
The C Word,
John Mulaney: New in Town,"Ryan Polito,Jake Szymanski"
In the Shadow of the Moon,Jim Mickle
Mirror Mirror,Tarsem Singh
Hasee Toh Phasee,Vinil Mathew
Bhavesh Joshi Superhero,Vikramaditya Motwane
Brooklyn's Finest,Antoine Fuqua
Wakefield,Robin Swicord
Wish I Was Here,Zach Braff
Lu Over the Wall,Masaaki Yuasa
Man of Tai Chi,Keanu Reeves
Comedian,Christian Charles
Alive and Kicking,Cyril Frankel
