Title,Genres
I Am Mother,"Drama,Mystery,Sci-Fi,Thriller"
Lupin the Third: The Castle of Cagliostro,"Animation,Adventure,Family,Fantasy"
The Autopsy of Jane Doe,"Horror,Mystery,Thriller"
Virunga,"Documentary,War"
Freedom Writers,"Biography,Crime,Drama"
The Master,Drama
A Serious Man,"Comedy,Drama"
The King,"Biography,Drama,History,Romance,War"
The Breadwinner,"Animation,Drama,Family,War"
The Boy Who Harnessed the Wind,Drama
Article 15,"Crime,Drama,Mystery"
The Killing of a Sacred Deer,"Drama,Horror,Mystery,Thriller"
Lawless,"Crime,Drama"
Kabhi Khushi Kabhie Gham,"Drama,Musical,Romance"
Charlie and the Chocolate Factory,"Adventure,Comedy,Family,Fantasy,Musical"
Freaks,"Drama,Mystery,Sci-Fi,Thriller"
Hannah Gadsby: Nanette,"Documentary,Comedy"
The Mask of Zorro,"Action,Adventure,Comedy,Romance,Thriller,Western"
The Natural,"Drama,Sport"
Equilibrium,"Action,Drama,Sci-Fi,Thriller"
Arthur Christmas,"Animation,Adventure,Comedy,Family,Fantasy"
The Rainmaker,"Crime,Drama,Thriller"
Winter on Fire: Ukraine's Fight for Freedom,Documentary
Always Be My Maybe,"Comedy,Romance"
The Crying Game,"Crime,Drama,Romance,Thriller"
War Horse,"Action,Adventure,Drama,History,War"
Shot Caller,"Crime,Drama,Thriller"
The Invitation,"Drama,Mystery,Thriller"
A Most Violent Year,"Action,Crime,Drama,Thriller"
The Other Guys,"Action,Comedy,Crime"
Kapoor & Sons,"Comedy,Drama,Romance"
On Body and Soul,"Drama,Fantasy,Mystery,Romance"
The Fundamentals of Caring,"Comedy,Drama"
Insidious,"Horror,Mystery,Thriller"
Bill Burr: Paper Tiger,Comedy
Bad Boys,"Action,Comedy,Crime,Thriller"
The Foreigner,"Action,Thriller"
The Danish Girl,"Biography,Drama,Romance"
The Girl with All the Gifts,"Drama,Horror,Sci-Fi,Thriller"
Bird Box,"Drama,Horror,Sci-Fi"
The Ring,"Horror,Mystery"
Hostiles,"Drama,Western"
Sairat,"Drama,Romance"
Trumbo,"Biography,Drama"
LA 92,"Documentary,History"
20th Century Women,"Comedy,Drama"
Kal Ho Naa Ho,"Comedy,Drama,Romance"
Swiss Army Man,"Comedy,Drama,Fantasy,Romance"
In This Corner of the World,"Animation,Drama,Family,History,War"
A Ghost Story,"Drama,Fantasy,Romance"
United 93,"Drama,History,Thriller"
Patriot Games,"Action,Thriller"
The Secret Life of Pets 2,"Animation,Adventure,Comedy,Family"
Hitch,"Comedy,Romance"
The Young Offenders,Comedy
Enemy,"Drama,Mystery,Thriller"
Mirage,"Drama,Mystery,Romance,Thriller"
Everybody's Everything,Documentary
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure"
The Guernsey Literary & Potato Peel Pie Society,"Drama,Romance,War"
I Don't Feel at Home in This World Anymore,"Comedy,Crime,Drama,Thriller"
The Endless,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller"
Julie & Julia,"Biography,Drama,Romance"
The Game Changers,Documentary
Under the Shadow,"Drama,Horror,Thriller,War"
Angel Has Fallen,"Action,Thriller"
Kon-Tiki,"Adventure,Biography,Drama,History"
